run,name,dataset,total,init,find_core_points,compute_cluster_cores,assign_border_points,remove_noise_points,create_clusters,r,eps
2,QuadTree,e0.6 r0.025,15.056347551995714,0.2076182710006833,14.533742258005075,,,0.0018380769979557,0.2912751500043669,0.025,0.6
3,QuadTree,e0.6 r0.025,14.995648399002675,0.2051178279943997,14.47249540300254,,,0.0017212050006492,0.2937782820008578,0.025,0.6
4,QuadTree,e0.6 r0.025,14.999843514000531,0.1924564139990252,14.49395443800313,,,0.0017380700010107,0.2905002530023921,0.025,0.6
0,QuadTree,e1.5 r0.1,25.499921374001133,0.2139232319968869,24.961940434994176,,,0.0011295820004306,0.3007313410053029,0.1,1.5
1,QuadTree,e1.5 r0.1,25.43346620900411,0.1918294319984852,24.795478054998966,,,0.0010916410028585,0.4237930360031896,0.1,1.5
2,QuadTree,e1.5 r0.1,25.513377832001424,0.0849270620019524,24.98448076999921,,,0.0011401349984225,0.4213675310020335,0.1,1.5
3,QuadTree,e1.5 r0.1,25.331637853996654,0.0634742360052769,24.94680385399988,,,0.0011001450038747,0.2988310619984986,0.1,1.5
4,QuadTree,e1.5 r0.1,25.6454322379941,0.0816386459991918,24.993827109996342,,,0.0011057360025006,0.2963789619971066,0.1,1.5
0,QuadTree,e0.4 r0.4,6.532389198000601,0.0758375669975066,6.021144112004549,,,0.1381266270036576,0.2723033869988285,0.4,0.4
1,QuadTree,e0.4 r0.4,6.714685730999918,0.0598349289939506,6.219265524996445,,,0.0126281220000237,0.2718408989967429,0.4,0.4
2,QuadTree,e0.4 r0.4,6.559599255997455,0.0864288369994028,6.16460154500237,,,0.0135608100026729,0.2725954490015283,0.4,0.4
3,QuadTree,e0.4 r0.4,6.535688121999556,0.1881890930017107,6.039468226001191,,,0.0124078290027682,0.273876344996097,0.4,0.4
4,QuadTree,e0.4 r0.4,6.676746311997704,0.210440306997043,6.034357805001491,,,0.0128594669949961,0.3976971439988119,0.4,0.4
0,QuadTree,e0.4 r0.1,9.543655391003997,0.0642228040014742,9.154901240995969,,,0.0050657399988267,0.2977371200031484,0.1,0.4
1,QuadTree,e0.4 r0.1,9.686875461004092,0.2114832439983729,9.02367841600062,,,0.0049419119968661,0.4246038009951007,0.1,0.4
2,QuadTree,e0.4 r0.1,9.552231380999729,0.0627226390060968,9.166480890002276,,,0.0051378240023041,0.2964743110060226,0.1,0.4
3,QuadTree,e0.4 r0.1,9.49979807499767,0.1857941139969625,8.976239339994208,,,0.0050208280008519,0.2967292800021823,0.1,0.4
4,QuadTree,e0.4 r0.1,9.551311260001969,0.2054274689944577,9.02333391799766,,,0.0048737730030552,0.2967566899969824,0.1,0.4
0,QuadTree,e0.8 r0.4,11.904951347998576,0.0615159709996078,11.255750381002144,,,0.0017124480000347,0.4387954659978277,0.4,0.8
1,QuadTree,e0.8 r0.4,12.095281674999567,0.0869097620015963,11.667833378000068,,,0.0017073619965231,0.317555394001829,0.4,0.8
2,QuadTree,e0.8 r0.4,11.97234806999768,0.0623770210004295,11.445339147998313,,,0.0016393909972975,0.3134784299982129,0.4,0.8
3,QuadTree,e0.8 r0.4,11.970226712001022,0.2065765170045779,11.302268458995968,,,0.0017746680023265,0.4382852879934944,0.4,0.8
4,QuadTree,e0.8 r0.4,11.969728380005108,0.1859409239987144,11.320048491004854,,,0.0018363609997322,0.4404622949950862,0.4,0.8
0,QuadTree,e1.5 r0.4,18.544745866995072,0.0577096299966797,18.159122750003007,,,0.0006678080026176,0.2893306210025912,0.4,1.5
1,QuadTree,e1.5 r0.4,18.71878665999975,0.2029298039997229,18.07987260200025,,,0.0006735060014761,0.4142477550049079,0.4,1.5
2,QuadTree,e1.5 r0.4,18.511920001001272,0.0618736530013848,18.13747474700358,,,0.00073932500527,0.2906540219992166,0.4,1.5
3,QuadTree,e1.5 r0.4,18.739290629004245,0.2178337430013925,18.081985775999783,,,0.0007750779986963,0.4165105530046276,0.4,1.5
